0.97078515, 0.97078515, 0.96987763, 0.96898085, 0.9680942, 0.96721731, 0.96635025, 0.96549229, 0.96464345, 0.96464352, 
0.97087397, 0.97087397, 0.96994669, 0.96903114, 0.96812793, 0.96723769, 0.96636045, 0.96549571, 0.96464269, 0.96464265, 
0.9708111, 0.9708111, 0.96990237, 0.96900289, 0.96811115, 0.9672279, 0.9663541, 0.96549055, 0.96463764, 0.96463759, 
0.97071137, 0.97071137, 0.96982207, 0.9689425, 0.96806821, 0.96719894, 0.96633518, 0.96547798, 0.96462836, 0.96462836, 
0.97059753, 0.97059753, 0.96972611, 0.96886621, 0.96801046, 0.96715754, 0.96630701, 0.96545935, 0.96461525, 0.96461526, 
0.97047874, 0.97047874, 0.96962351, 0.968782, 0.96794423, 0.96710809, 0.96627214, 0.96543582, 0.96459878, 0.96459878, 
0.97035947, 0.97035947, 0.96951898, 0.96869438, 0.96787346, 0.96705359, 0.96623249, 0.96540845, 0.96457937, 0.96457937, 
0.97024209, 0.97024209, 0.96941521, 0.9686061, 0.96780069, 0.96699617, 0.96618959, 0.96537816, 0.96455739, 0.96455739, 
0.97012787, 0.97012787, 0.96931377, 0.96851886, 0.96772766, 0.96693735, 0.96614462, 0.96534565, 0.96453326, 0.96453326, 
0.97001748, 0.97001748, 0.9692156, 0.9684338, 0.96765551, 0.96687825, 0.96609851, 0.96531158, 0.96450739, 0.96450738, 
